model,loco_mae_pp,ci95_low,ci95_high,rmse_pp,r2_pooled,vs_baseline_relative,beats_baseline_by_15pct,worst_fold_cohort,worst_fold_mae_pp
duration_only (log),3.157,,,,,0.0,,,
tabpfn,3.222,2.515,3.973,3.741,0.39,-0.021,False,liphardt_br21,7.564
