row_id,study_id,cohort_id,campaign_name,registry_id,first_author,year,doi,source_file,design,hdt_angle_deg,duration_days,phase,timepoint_days,days_from_unloading_end,exposure_flag,arm_id,arm_type,cm_modality,cm_dose,n_arm,n_analysed,sex,pct_female,age_mean,age_sd,age_min,age_max,population,bmi_mean,body_mass_mean_kg,nutrition_controlled,muscle,muscle_function_class,is_composite,composite_of,laterality,measurement_site,outcome_type,modality,unit_original,value_baseline_original,value_followup_original,unit_si,value_baseline,value_followup,change_absolute,pct_change,variance_of,variance_type,variance_value,p_value,data_source,digitizer_tool,page_ref,extractor,extraction_date,extraction_confidence,double_extracted,qc_flag,notes
nlsp_mr035g_c3__ctrl__whole_lower_limb__bed_rest_30__DXA_lean_mass,nlsp_mr035g_c3,nasa_utmb_c3,"NASA Flight Analog Project, UTMB Campaign 3 (MR035G)",NA,NA,2026,NA,data/nasa/MR035G_Campaign_3_DXA_Whole_Body,HDBR_-6,-6,90,bed_rest,30,NA,analogue,ctrl,control,none,NA,13,1,F,NA,48.0,NA,NA,NA,healthy_young,NA,NA,NA,whole_lower_limb,NA,TRUE,NA,mean,NA,lean_mass,DXA,g,15107.9,12773.8,kg,15.108,12.774,-2.334,-15.45,NA,NA,NA,NA,repository,NA,"data/nasa/MR035G_Campaign_3_DXA_Whole_Body, columns L_LEG_LEAN + R_LEG_LEAN",qaragoz,2026-09-19,high,FALSE,pct_of_individual_means;repository_row,"NASA NLSP open data, experiment 4469ebdc-0a65-55e8-bbff-3cf6b044c4c6, UTMB Campaign 3 block(s) C3C; computed by framework/extract_nasa.py from L_LEG_LEAN + R_LEG_LEAN. Scanned on BR_DAY 30; age known for 1 of 1 participants"
nlsp_mr035g_c3__ctrl__whole_lower_limb__bed_rest_45__DXA_lean_mass,nlsp_mr035g_c3,nasa_utmb_c3,"NASA Flight Analog Project, UTMB Campaign 3 (MR035G)",NA,NA,2026,NA,data/nasa/MR035G_Campaign_3_DXA_Whole_Body,HDBR_-6,-6,90,bed_rest,45,NA,analogue,ctrl,control,none,NA,13,1,F,NA,48.0,NA,NA,NA,healthy_young,NA,NA,NA,whole_lower_limb,NA,TRUE,NA,mean,NA,lean_mass,DXA,g,15107.9,12547.1,kg,15.108,12.547,-2.561,-16.95,NA,NA,NA,NA,repository,NA,"data/nasa/MR035G_Campaign_3_DXA_Whole_Body, columns L_LEG_LEAN + R_LEG_LEAN",qaragoz,2026-09-19,high,FALSE,pct_of_individual_means;repository_row,"NASA NLSP open data, experiment 4469ebdc-0a65-55e8-bbff-3cf6b044c4c6, UTMB Campaign 3 block(s) C3C; computed by framework/extract_nasa.py from L_LEG_LEAN + R_LEG_LEAN. Scanned on BR_DAY 45; age known for 1 of 1 participants"
nlsp_mr035g_c3__ctrl__whole_lower_limb__bed_rest_58__DXA_lean_mass,nlsp_mr035g_c3,nasa_utmb_c3,"NASA Flight Analog Project, UTMB Campaign 3 (MR035G)",NA,NA,2026,NA,data/nasa/MR035G_Campaign_3_DXA_Whole_Body,HDBR_-6,-6,90,bed_rest,58,NA,analogue,ctrl,control,none,NA,13,1,F,NA,48.0,NA,NA,NA,healthy_young,NA,NA,NA,whole_lower_limb,NA,TRUE,NA,mean,NA,lean_mass,DXA,g,15107.9,12304.3,kg,15.108,12.304,-2.804,-18.56,NA,NA,NA,NA,repository,NA,"data/nasa/MR035G_Campaign_3_DXA_Whole_Body, columns L_LEG_LEAN + R_LEG_LEAN",qaragoz,2026-09-19,high,FALSE,pct_of_individual_means;repository_row,"NASA NLSP open data, experiment 4469ebdc-0a65-55e8-bbff-3cf6b044c4c6, UTMB Campaign 3 block(s) C3C; computed by framework/extract_nasa.py from L_LEG_LEAN + R_LEG_LEAN. Scanned on BR_DAY 58; age known for 1 of 1 participants"
nlsp_mr035g_c3__ctrl__whole_lower_limb__bed_rest_63__DXA_lean_mass,nlsp_mr035g_c3,nasa_utmb_c3,"NASA Flight Analog Project, UTMB Campaign 3 (MR035G)",NA,NA,2026,NA,data/nasa/MR035G_Campaign_3_DXA_Whole_Body,HDBR_-6,-6,90,bed_rest,63,NA,analogue,ctrl,control,none,NA,13,13,mixed,38.5,34.5,NA,NA,NA,healthy_young,NA,NA,NA,whole_lower_limb,NA,TRUE,NA,mean,NA,lean_mass,DXA,g,17895.0,16183.4,kg,17.895,16.183,-1.712,-10.03,change,SD,4.00,NA,repository,NA,"data/nasa/MR035G_Campaign_3_DXA_Whole_Body, columns L_LEG_LEAN + R_LEG_LEAN",qaragoz,2026-09-19,high,FALSE,pct_of_individual_means;repository_row;age_partially_published,"NASA NLSP open data, experiment 4469ebdc-0a65-55e8-bbff-3cf6b044c4c6, UTMB Campaign 3 block(s) C3A+C3C+C3D; computed by framework/extract_nasa.py from L_LEG_LEAN + R_LEG_LEAN. Scanned on BR_DAY 61, 62, 63, 64, 65, 66; age known for 8 of 13 participants"
nlsp_mr035g_c3__ctrl__whole_lower_limb__recovery_92__DXA_lean_mass,nlsp_mr035g_c3,nasa_utmb_c3,"NASA Flight Analog Project, UTMB Campaign 3 (MR035G)",NA,NA,2026,NA,data/nasa/MR035G_Campaign_3_DXA_Whole_Body,HDBR_-6,-6,90,recovery,92,2,analogue,ctrl,control,none,NA,13,13,mixed,38.5,34.5,NA,NA,NA,healthy_young,NA,NA,NA,whole_lower_limb,NA,TRUE,NA,mean,NA,lean_mass,DXA,g,17895.0,16903.5,kg,17.895,16.903,-0.991,-6.04,change,SD,4.06,NA,repository,NA,"data/nasa/MR035G_Campaign_3_DXA_Whole_Body, columns L_LEG_LEAN + R_LEG_LEAN",qaragoz,2026-09-19,high,FALSE,pct_of_individual_means;repository_row;age_partially_published,"NASA NLSP open data, experiment 4469ebdc-0a65-55e8-bbff-3cf6b044c4c6, UTMB Campaign 3 block(s) C3A+C3C+C3D; computed by framework/extract_nasa.py from L_LEG_LEAN + R_LEG_LEAN. Scanned on BR_DAY 1, 2, 4; age known for 8 of 13 participants"
