ID,Group,Statistic,ROI,Unit,Test,Value
87,Exer,SEM,Femoral Right Neck,BMD g/cm²,Test 2,0.03
88,Exer,SEM,Femoral Right Neck,BMD g/cm²,Test 3,0.07
89,Exer,SEM,Femoral Right Neck,BMD g/cm²,Test 4,0.07
90,Exer,SEM,Femoral Right Neck,BMD g/cm²,Post,0.03
91,FLY,Mean,Femoral Right Neck,BMD g/cm²,Pre,1.11
92,FLY,Mean,Femoral Right Neck,BMD g/cm²,Test 1,1.13
93,FLY,Mean,Femoral Right Neck,BMD g/cm²,Test 2,1.12
94,FLY,Mean,Femoral Right Neck,BMD g/cm²,Test 3,1.11
95,FLY,Mean,Femoral Right Neck,BMD g/cm²,Test 4,1.11
96,FLY,Mean,Femoral Right Neck,BMD g/cm²,Post,1.11
97,FLY,SD,Femoral Right Neck,BMD g/cm²,Pre,0.16
98,FLY,SD,Femoral Right Neck,BMD g/cm²,Test 1,0.17
99,FLY,SD,Femoral Right Neck,BMD g/cm²,Test 2,0.17
100,FLY,SD,Femoral Right Neck,BMD g/cm²,Test 3,0.17
101,FLY,SD,Femoral Right Neck,BMD g/cm²,Test 4,0.16
102,FLY,SD,Femoral Right Neck,BMD g/cm²,Post,0.17
103,FLY,SEM,Femoral Right Neck,BMD g/cm²,Pre,0.06
104,FLY,SEM,Femoral Right Neck,BMD g/cm²,Test 1,0.06
105,FLY,SEM,Femoral Right Neck,BMD g/cm²,Test 2,0.06
106,FLY,SEM,Femoral Right Neck,BMD g/cm²,Test 3,0.06
107,FLY,SEM,Femoral Right Neck,BMD g/cm²,Test 4,0.06
108,FLY,SEM,Femoral Right Neck,BMD g/cm²,Post,0.06
109,Ctrl,Mean,Femoral Left Total Hip,BMD g/cm²,Pre,1.07
110,Ctrl,Mean,Femoral Left Total Hip,BMD g/cm²,Test 1,1.06
111,Ctrl,Mean,Femoral Left Total Hip,BMD g/cm²,Test 2,1.05
112,Ctrl,Mean,Femoral Left Total Hip,BMD g/cm²,Test 3,1.05
113,Ctrl,Mean,Femoral Left Total Hip,BMD g/cm²,Test 4,1.05
114,Ctrl,Mean,Femoral Left Total Hip,BMD g/cm²,Post,1.06
115,Ctrl,SD,Femoral Left Total Hip,BMD g/cm²,Pre,0.12
116,Ctrl,SD,Femoral Left Total Hip,BMD g/cm²,Test 1,0.44
117,Ctrl,SD,Femoral Left Total Hip,BMD g/cm²,Test 2,0.44
118,Ctrl,SD,Femoral Left Total Hip,BMD g/cm²,Test 3,0.43
119,Ctrl,SD,Femoral Left Total Hip,BMD g/cm²,Test 4,0.43
120,Ctrl,SD,Femoral Left Total Hip,BMD g/cm²,Post,0.12
121,Ctrl,SEM,Femoral Left Total Hip,BMD g/cm²,Pre,0.04
122,Ctrl,SEM,Femoral Left Total Hip,BMD g/cm²,Test 1,0.13
123,Ctrl,SEM,Femoral Left Total Hip,BMD g/cm²,Test 2,0.13
124,Ctrl,SEM,Femoral Left Total Hip,BMD g/cm²,Test 3,0.13
125,Ctrl,SEM,Femoral Left Total Hip,BMD g/cm²,Test 4,0.13
126,Ctrl,SEM,Femoral Left Total Hip,BMD g/cm²,Post,0.04
127,Exer,Mean,Femoral Left Total Hip,BMD g/cm²,Pre,1.09
128,Exer,Mean,Femoral Left Total Hip,BMD g/cm²,Test 1,1.09
129,Exer,Mean,Femoral Left Total Hip,BMD g/cm²,Test 2,1.09
130,Exer,Mean,Femoral Left Total Hip,BMD g/cm²,Test 3,1.03
131,Exer,Mean,Femoral Left Total Hip,BMD g/cm²,Test 4,1.03
132,Exer,Mean,Femoral Left Total Hip,BMD g/cm²,Post,1.09
133,Exer,SD,Femoral Left Total Hip,BMD g/cm²,Pre,0.12
134,Exer,SD,Femoral Left Total Hip,BMD g/cm²,Test 1,0.11
135,Exer,SD,Femoral Left Total Hip,BMD g/cm²,Test 2,0.12
136,Exer,SD,Femoral Left Total Hip,BMD g/cm²,Test 3,0.27
137,Exer,SD,Femoral Left Total Hip,BMD g/cm²,Test 4,0.28
138,Exer,SD,Femoral Left Total Hip,BMD g/cm²,Post,0.11
139,Exer,SEM,Femoral Left Total Hip,BMD g/cm²,Pre,0.03
140,Exer,SEM,Femoral Left Total Hip,BMD g/cm²,Test 1,0.03
141,Exer,SEM,Femoral Left Total Hip,BMD g/cm²,Test 2,0.03
142,Exer,SEM,Femoral Left Total Hip,BMD g/cm²,Test 3,0.06
143,Exer,SEM,Femoral Left Total Hip,BMD g/cm²,Test 4,0.06
144,Exer,SEM,Femoral Left Total Hip,BMD g/cm²,Post,0.03
145,FLY,Mean,Femoral Left Total Hip,BMD g/cm²,Pre,1.10
146,FLY,Mean,Femoral Left Total Hip,BMD g/cm²,Test 1,1.10
147,FLY,Mean,Femoral Left Total Hip,BMD g/cm²,Test 2,1.10
148,FLY,Mean,Femoral Left Total Hip,BMD g/cm²,Test 3,1.09
149,FLY,Mean,Femoral Left Total Hip,BMD g/cm²,Test 4,1.08
150,FLY,Mean,Femoral Left Total Hip,BMD g/cm²,Post,1.09
