ID,Group,Statistic,Component,Unit,Test,Value
192,Exer,SD,Total,kg,Post,1.73
193,Exer,SEM,Total,kg,Pre,0.39
194,Exer,SEM,Total,kg,Test 1,0.40
195,Exer,SEM,Total,kg,Test 2,0.41
196,Exer,SEM,Total,kg,Test 3,0.65
197,Exer,SEM,Total,kg,Test 4,0.63
198,Exer,SEM,Total,kg,Post,0.40
199,FLY,Mean,Total,kg,Pre,9.31
200,FLY,Mean,Total,kg,Test 1,9.40
201,FLY,Mean,Total,kg,Test 2,9.37
202,FLY,Mean,Total,kg,Test 3,9.34
203,FLY,Mean,Total,kg,Test 4,9.49
204,FLY,Mean,Total,kg,Post,9.31
205,FLY,SD,Total,kg,Pre,1.53
206,FLY,SD,Total,kg,Test 1,1.56
207,FLY,SD,Total,kg,Test 2,1.57
208,FLY,SD,Total,kg,Test 3,1.65
209,FLY,SD,Total,kg,Test 4,1.81
210,FLY,SD,Total,kg,Post,1.70
211,FLY,SEM,Total,kg,Pre,0.54
212,FLY,SEM,Total,kg,Test 1,0.55
213,FLY,SEM,Total,kg,Test 2,0.55
214,FLY,SEM,Total,kg,Test 3,0.58
215,FLY,SEM,Total,kg,Test 4,0.64
216,FLY,SEM,Total,kg,Post,0.60
217,Ctrl,Mean,Tissue,%,Pre,25.61
218,Ctrl,Mean,Tissue,%,Test 1,26.14
219,Ctrl,Mean,Tissue,%,Test 2,26.73
220,Ctrl,Mean,Tissue,%,Test 3,27.31
221,Ctrl,Mean,Tissue,%,Test 4,28.21
222,Ctrl,Mean,Tissue,%,Post,29.12
223,Ctrl,SD,Tissue,%,Pre,6.72
224,Ctrl,SD,Tissue,%,Test 1,12.13
225,Ctrl,SD,Tissue,%,Test 2,12.48
226,Ctrl,SD,Tissue,%,Test 3,12.42
227,Ctrl,SD,Tissue,%,Test 4,12.64
228,Ctrl,SD,Tissue,%,Post,6.54
229,Ctrl,SEM,Tissue,%,Pre,2.02
230,Ctrl,SEM,Tissue,%,Test 1,3.66
231,Ctrl,SEM,Tissue,%,Test 2,3.76
232,Ctrl,SEM,Tissue,%,Test 3,3.75
233,Ctrl,SEM,Tissue,%,Test 4,3.81
234,Ctrl,SEM,Tissue,%,Post,1.97
235,Exer,Mean,Tissue,%,Pre,23.11
236,Exer,Mean,Tissue,%,Test 1,22.44
237,Exer,Mean,Tissue,%,Test 2,22.48
238,Exer,Mean,Tissue,%,Test 3,22.93
239,Exer,Mean,Tissue,%,Test 4,22.95
240,Exer,Mean,Tissue,%,Post,22.79
241,Exer,SD,Tissue,%,Pre,4.79
242,Exer,SD,Tissue,%,Test 1,4.62
243,Exer,SD,Tissue,%,Test 2,5.08
244,Exer,SD,Tissue,%,Test 3,7.21
